date,poi-1,poi-2,poi-3,poi-4,poi-5,poi-6,poi-7,poi-8,poi-9,poi-10,poi-11,poi-12,poi-13,poi-14,poi-15,poi-16,poi-17,poi-18,poi-19,poi-20,poi-21,poi-22,poi-23,poi-24,poi-25,poi-26,poi-27,poi-28,poi-29,poi-30,poi-31,poi-32,poi-33,poi-34,poi-35,poi-36,poi-37,poi-38,poi-39,poi-40,poi-41,poi-42,poi-43,poi-44,poi-45,poi-46,poi-47,poi-48,poi-49,poi-50,poi-51,poi-52,poi-53,poi-54,poi-55,poi-56,poi-57,poi-58,poi-59,poi-60,poi-61,poi-62,poi-63,poi-64,poi-65,poi-66,poi-67,poi-68,poi-69,poi-70,poi-71,poi-72,poi-73,poi-74,poi-75,poi-76,poi-77,poi-78,poi-79,poi-80,poi-81,poi-82,poi-83,poi-84,poi-85,poi-86,poi-87,poi-88,poi-89,poi-90,poi-91,poi-92,poi-93,poi-94,poi-95,poi-96,poi-97,poi-98,poi-99,poi-100,poi-101,poi-102,poi-103,poi-104,poi-105,poi-106,poi-107,poi-108,poi-109,poi-110,poi-111,poi-112,poi-113,poi-114,poi-115,poi-116,poi-117,poi-118,poi-119,poi-120,poi-121,poi-122,poi-123
2017_09_29,43,31,6,19,10,70,3,5,49,26,11,199,20,21,79,10,45,20,12,35,1,11,37,14,10,39,0,26,14,25,15,31,6,13,6,3,6,9,3,16,2,28,4,4,1,83,8,0,0,5,132,0,0,14,6,0,94,0,11,6,55,5,46,5,5,10,2,6,1,11,39,1,20,18,7,15,3,25,11,17,74,2,10,11,76,6,0,25,12,7,7,5,0,5,20,2,16,3,22,42,25,57,4,8,7,20,47,7,25,8,3,2,7,0,8,0,10,1,7,10,8,2,3
2017_10_01,21,26,6,5,8,64,2,6,55,18,14,189,19,21,83,23,42,6,6,61,0,12,47,12,9,42,0,18,10,18,11,23,10,7,9,5,5,20,6,10,4,23,1,1,0,117,5,0,0,6,99,1,1,8,6,1,93,0,13,8,47,6,47,1,9,9,6,5,2,9,42,2,16,15,5,26,3,22,9,20,85,0,14,16,78,9,0,18,15,5,8,7,0,4,20,0,34,3,33,28,25,34,2,10,7,22,42,11,25,8,0,2,7,3,6,0,11,1,5,8,8,1,3
2017_10_04,36,34,20,20,16,51,2,9,50,25,9,196,13,29,84,26,52,7,7,32,1,16,42,16,9,42,3,18,13,20,11,25,12,6,5,1,9,22,6,7,7,29,1,5,0,107,10,0,1,8,91,2,1,5,10,3,72,1,8,3,49,6,54,6,5,15,3,6,2,16,33,0,19,10,10,16,3,22,18,23,74,0,18,9,95,5,2,20,11,6,5,0,0,2,8,2,18,0,31,35,34,61,3,5,4,21,40,7,17,12,1,1,11,2,8,1,5,1,7,9,8,0,3
2017_10_08,32,49,19,8,21,56,2,5,55,20,13,181,11,31,77,21,50,12,9,33,1,16,37,10,7,38,0,26,6,24,6,29,5,9,5,1,9,9,4,14,5,20,0,3,0,118,8,0,0,6,136,0,2,14,8,4,90,0,9,4,40,10,52,2,8,18,2,6,2,25,43,1,8,25,10,25,1,22,17,16,69,0,17,11,84,9,0,23,14,7,11,4,1,3,12,0,14,1,22,41,19,42,2,8,7,19,48,11,20,8,4,3,8,1,5,3,8,0,7,6,4,2,3
2017_10_09,27,37,18,18,23,60,3,9,51,19,7,209,12,13,96,18,37,10,13,35,1,7,43,10,9,37,0,19,15,17,15,28,15,8,14,4,6,5,8,8,5,33,4,1,0,74,7,0,0,8,92,2,3,7,7,1,82,2,12,9,40,5,36,5,5,10,6,6,1,18,43,0,9,5,6,14,2,20,12,16,66,0,20,14,94,10,2,16,18,6,7,3,1,4,20,2,25,3,23,29,27,44,2,7,4,21,41,10,18,10,4,3,7,2,8,2,8,0,8,10,8,0,3
2017_10_27,39,33,11,9,17,53,3,5,52,22,12,208,9,23,98,14,47,7,16,43,1,5,38,8,5,37,2,16,11,20,15,20,14,11,8,2,10,20,8,20,5,32,4,2,0,74,7,1,1,6,119,0,2,9,5,1,78,1,15,7,52,10,42,5,9,19,6,9,3,23,40,0,12,5,8,30,1,25,29,24,69,2,18,13,90,7,0,22,20,8,5,2,1,5,13,1,18,1,33,42,30,35,4,7,7,22,47,11,27,10,2,4,7,1,6,0,11,0,6,8,9,2,3
2017_08_02,32,39,17,18,17,62,3,6,49,26,12,185,14,14,84,18,47,20,8,30,1,9,37,6,8,35,0,9,11,19,14,27,12,6,11,0,5,11,3,16,6,20,1,0,0,86,7,0,0,5,81,1,4,11,7,4,88,0,11,3,38,9,47,4,6,11,5,9,3,21,35,1,12,10,10,23,2,28,13,24,72,0,11,17,78,5,1,26,13,6,10,1,0,3,9,2,29,2,33,29,31,50,4,7,4,21,48,7,24,9,3,4,9,2,7,0,12,0,4,6,6,0,4
2017_08_14,35,34,17,13,19,56,2,9,51,24,7,193,21,17,79,20,44,18,9,32,0,14,38,9,6,38,0,27,12,14,5,18,14,11,13,2,9,11,5,19,10,30,3,4,1,82,6,0,0,7,139,1,0,6,8,1,74,0,9,7,54,6,47,6,6,11,6,6,1,24,41,0,18,19,10,22,0,23,15,26,61,0,9,11,89,10,0,19,13,7,8,7,1,4,18,0,29,1,36,39,30,43,4,8,6,18,38,13,19,9,2,1,9,3,8,0,14,2,7,10,9,3,4
2017_08_30,29,22,19,12,18,70,2,8,49,24,6,204,5,15,89,13,58,13,15,42,0,17,47,12,5,44,2,16,13,28,15,27,9,8,20,2,5,24,7,11,10,26,3,0,1,84,10,0,1,8,146,2,0,6,7,0,84,0,11,5,47,9,56,1,6,17,5,10,1,18,46,2,13,10,9,25,0,18,27,14,79,2,12,9,89,10,1,24,10,6,5,4,0,2,15,1,17,0,34,32,28,46,5,9,5,20,39,13,18,12,0,3,8,4,5,2,9,0,8,11,7,3,4
2017_09_02,41,50,17,14,19,56,2,9,49,24,14,210,23,23,94,18,45,14,10,55,0,8,44,7,5,36,0,26,12,26,8,22,9,11,16,0,10,12,8,13,5,31,2,1,1,103,8,1,1,5,116,0,3,8,6,1,65,2,6,7,55,4,37,1,9,13,6,6,2,10,40,1,13,8,8,21,3,23,10,25,60,2,18,16,74,6,2,21,6,7,10,0,0,3,19,0,24,0,32,28,21,44,1,5,7,21,49,7,24,7,2,2,8,0,5,1,11,1,6,8,4,3,4
2017_09_21,42,28,16,15,16,63,3,5,49,23,7,216,5,17,78,15,57,13,6,42,1,10,49,14,7,42,0,12,13,27,9,28,5,5,5,2,6,17,8,11,3,32,4,0,1,118,9,1,0,5,89,2,4,14,9,2,76,0,7,5,43,7,44,4,7,19,6,8,0,12,38,2,18,18,7,27,1,25,19,22,79,2,12,16,73,10,0,15,10,6,7,0,1,2,17,0,19,1,27,33,35,47,0,7,4,20,45,11,26,10,2,4,8,4,7,1,7,0,4,6,8,3,4
2017_09_24,30,42,10,17,7,55,2,7,51,21,10,189,5,19,97,11,38,16,8,45,0,18,30,11,9,38,2,22,6,19,14,22,6,11,7,3,7,21,9,20,2,33,1,0,1,119,9,1,1,8,118,0,1,6,7,2,85,1,12,6,48,5,36,3,8,9,3,9,0,12,46,2,17,11,6,22,1,24,24,15,85,2,14,12,96,7,2,21,6,7,13,1,0,2,17,1,26,2,36,27,19,53,4,5,5,20,47,9,19,9,1,1,9,3,8,0,16,0,2,8,6,3,4
2017_09_28,39,33,8,14,20,51,2,7,51,22,10,202,15,16,97,26,44,10,8,41,0,20,46,15,9,39,2,21,11,27,12,28,5,7,15,1,9,17,6,10,4,29,4,3,0,81,8,1,1,6,110,1,4,12,7,4,77,1,11,8,55,4,52,5,6,12,5,5,0,13,50,0,19,18,7,27,1,29,13,24,66,1,19,10,87,5,2,26,12,5,10,2,1,5,13,2,28,0,23,41,19,42,0,9,4,19,38,11,19,12,2,4,8,1,7,3,5,0,3,9,6,2,4
2017_10_03,28,41,7,8,18,59,3,6,49,19,8,219,11,13,99,17,46,6,16,54,0,6,32,20,9,40,0,9,5,19,13,21,13,13,12,4,10,24,8,17,3,23,0,2,0,77,10,1,1,6,132,1,4,13,8,0,97,0,5,3,41,5,40,0,5,8,2,8,0,15,36,0,17,6,9,17,3,22,18,25,69,2,20,14,74,8,0,17,8,8,7,0,1,5,14,1,28,2,21,40,33,52,4,7,6,19,45,12,27,10,2,2,6,0,5,2,12,1,3,7,9,0,4
2017_10_12,32,38,11,7,13,58,3,5,50,25,11,173,18,27,79,14,47,16,9,41,1,12,49,6,6,40,3,25,6,16,14,20,6,8,7,2,9,22,5,16,10,33,4,1,1,79,8,1,1,7,104,1,3,7,6,0,70,1,14,3,48,10,48,0,7,13,3,10,2,23,36,1,14,7,9,26,2,21,22,27,77,0,10,11,97,10,0,20,8,6,12,5,1,7,11,2,19,2,35,29,25,57,0,7,6,18,43,8,21,8,3,3,10,3,7,2,19,1,8,6,6,3,4
2017_10_13,24,23,19,16,13,63,2,10,51,24,10,210,17,23,77,22,31,9,4,59,0,20,50,7,5,38,2,20,13,20,6,23,8,6,7,1,5,9,5,19,7,29,3,3,0,103,5,1,1,7,142,2,3,10,8,4,72,1,7,4,42,9,55,6,6,10,3,10,0,18,46,2,11,32,9,28,1,20,14,21,63,1,8,11,74,6,1,24,17,7,5,6,0,3,19,1,28,2,36,31,22,43,1,7,4,18,45,8,17,12,3,1,6,4,6,1,16,1,2,8,5,0,4
2017_10_15,37,32,18,6,20,64,2,10,50,19,14,179,20,23,77,23,61,14,12,36,0,5,39,10,7,41,0,25,13,16,15,30,13,12,5,2,10,24,7,16,3,16,0,2,0,90,7,0,1,8,121,1,1,14,6,0,73,0,8,9,53,8,54,3,7,15,5,5,0,22,49,0,17,33,6,25,0,19,14,25,68,1,14,14,74,10,0,16,9,5,8,5,0,7,9,2,30,3,20,37,31,60,6,7,5,16,41,12,27,12,2,3,8,0,7,1,18,1,6,7,8,3,4
2017_10_23,21,48,17,18,23,56,3,6,49,22,13,181,7,28,81,24,50,12,6,62,0,15,47,12,5,39,1,19,8,22,5,25,14,6,18,1,6,7,9,13,10,16,1,4,0,83,5,1,0,8,94,1,0,5,6,4,81,0,15,4,53,5,53,3,7,11,4,9,2,23,33,1,18,6,9,25,3,18,12,23,70,1,18,10,89,7,2,14,18,6,6,2,0,7,16,0,26,2,26,38,18,42,5,9,7,16,40,8,24,7,0,3,7,4,8,1,8,1,2,10,7,3,4
2017_10_25,18,33,10,18,12,50,3,7,51,22,11,195,17,22,85,15,31,11,15,26,1,18,39,7,6,39,3,24,6,23,11,19,12,11,10,5,5,24,9,9,10,29,2,3,0,78,6,0,1,8,138,1,2,8,5,2,90,0,8,7,36,7,45,3,10,14,4,10,1,18,30,1,18,9,5,29,3,19,30,20,83,1,10,11,93,7,0,18,15,7,10,2,0,7,15,1,14,1,32,39,27,59,4,7,5,18,38,11,20,7,1,1,11,2,5,0,20,0,8,6,6,1,4
2017_10_28,36,50,6,6,18,51,2,5,52,17,6,198,7,26,99,14,36,5,9,60,0,5,47,18,6,42,0,15,15,21,8,19,12,12,13,5,5,16,9,18,3,28,4,0,1,81,5,0,1,6,119,0,1,14,6,2,74,2,15,9,52,6,42,0,9,13,2,9,2,9,32,0,10,22,6,19,2,22,25,19,79,0,11,10,85,10,2,26,6,7,5,0,0,2,16,0,30,0,24,31,25,59,0,10,7,22,45,10,26,7,3,2,10,3,6,2,8,1,8,9,8,3,4
2017_10_30,29,22,19,12,18,70,2,8,49,24,6,204,5,15,89,13,58,13,15,42,0,17,47,12,5,44,2,16,13,28,15,27,9,8,20,2,5,24,7,11,10,26,3,0,1,84,10,0,1,8,146,2,0,6,7,0,84,0,11,5,47,9,56,1,6,17,5,10,1,18,46,2,13,10,9,25,0,18,27,14,79,2,12,9,89,10,1,24,10,6,5,4,0,2,15,1,17,0,34,32,28,46,5,9,5,20,39,13,18,12,0,3,8,4,5,2,9,0,8,11,7,3,4
2017_08_05,42,50,8,20,11,66,3,6,54,20,7,183,11,19,100,22,45,12,9,57,1,16,41,5,6,38,3,19,10,20,11,31,5,12,10,5,7,21,4,17,5,20,2,3,1,120,5,0,1,8,140,1,2,10,5,2,76,0,10,5,36,7,56,6,5,11,3,7,0,16,37,0,15,29,5,21,2,25,19,16,73,1,11,8,91,10,2,18,11,6,9,6,1,6,19,2,17,3,26,34,36,45,4,6,7,17,41,13,24,10,2,3,9,0,8,2,6,2,4,11,9,1,5
2017_08_11,32,43,16,18,13,66,2,9,50,21,14,211,23,16,81,19,38,19,10,56,1,11,33,14,7,43,1,8,9,14,7,25,5,7,11,4,5,15,3,19,6,18,4,2,0,71,5,1,0,8,88,0,2,6,9,0,92,0,11,8,54,6,45,2,8,13,3,10,0,17,39,1,13,10,9,18,3,29,15,21,73,1,14,17,93,5,1,14,17,5,6,5,1,6,16,2,25,3,32,28,22,51,6,6,6,19,48,9,26,12,4,4,9,1,7,0,11,1,7,8,8,0,5
2017_08_16,37,48,15,12,22,52,3,5,55,20,11,170,18,27,81,14,38,14,11,33,0,6,32,16,5,45,3,9,12,16,6,18,7,8,12,0,5,19,9,7,5,30,2,0,1,70,9,1,1,5,121,1,2,6,7,0,69,1,13,4,54,6,37,0,6,9,6,7,0,11,35,0,11,19,9,18,1,21,18,20,79,2,12,16,91,5,0,22,20,6,12,3,0,4,11,2,35,3,22,36,27,40,2,5,7,17,42,9,19,8,2,4,7,0,5,3,7,2,5,8,5,1,5
2017_08_19,33,23,18,6,21,55,2,5,49,23,10,211,6,15,98,24,43,13,9,62,0,18,37,14,8,42,1,20,8,20,15,29,7,8,13,1,8,25,8,16,10,25,2,0,0,90,7,1,1,8,100,1,3,7,7,1,78,0,9,9,41,4,56,0,6,18,3,7,1,16,32,1,19,15,8,21,3,24,21,14,85,2,10,8,78,10,0,27,14,5,7,0,0,2,13,2,33,0,23,41,28,41,5,9,4,20,43,10,24,8,4,2,11,4,6,3,12,2,5,11,6,1,5
2017_08_31,34,40,17,15,22,53,3,9,52,24,10,181,12,26,83,16,37,6,14,52,1,7,40,7,7,39,1,19,5,14,15,23,13,13,13,5,6,11,4,12,8,22,3,3,0,86,9,0,1,6,116,2,4,5,10,1,79,1,12,8,46,6,46,0,10,13,4,10,1,18,30,2,10,31,9,26,1,23,14,20,68,2,18,9,90,10,1,27,9,7,7,2,0,7,15,2,29,1,33,28,27,39,2,7,4,16,50,9,27,8,4,2,7,1,8,0,7,1,7,7,6,0,5
2017_09_06,20,45,17,9,15,66,2,6,50,26,12,207,23,22,86,26,57,18,5,63,1,13,30,10,6,43,1,27,10,26,14,30,15,8,20,4,5,20,4,9,7,32,2,4,1,97,6,0,1,8,116,0,1,13,9,3,73,1,14,3,35,8,45,2,5,9,5,10,0,21,31,0,12,31,5,18,3,26,22,24,80,1,17,9,93,9,0,25,16,6,7,6,0,3,11,0,32,1,20,32,33,56,0,9,4,16,38,8,16,10,2,4,10,2,8,2,16,2,7,7,7,0,5
2017_09_14,28,37,9,20,23,66,3,10,54,18,13,170,13,15,81,14,30,5,12,31,0,20,33,13,8,38,3,11,14,25,5,24,7,8,5,1,8,19,9,12,8,27,2,4,0,87,7,0,1,5,125,0,1,6,7,3,82,0,8,6,37,4,40,5,5,10,5,10,3,11,37,0,14,26,5,18,1,22,11,17,76,2,13,15,72,7,0,25,20,5,7,4,1,2,14,1,22,0,25,35,21,35,3,7,7,21,46,13,20,9,2,3,9,0,8,2,11,2,4,10,4,3,5
2017_09_20,20,46,10,5,17,70,2,9,51,20,14,202,23,13,78,19,42,14,10,50,1,6,32,11,10,42,0,11,10,15,12,31,10,13,17,3,6,9,5,9,6,28,0,2,1,114,5,1,1,8,81,0,4,9,8,3,68,0,6,4,51,7,44,2,6,18,6,7,2,21,37,1,20,21,5,17,1,23,10,15,61,1,12,11,87,10,0,23,8,8,8,4,1,5,11,1,27,3,23,28,18,37,5,9,6,19,46,7,27,11,4,2,9,0,5,0,8,0,8,10,4,3,5
2017_09_27,39,23,9,14,7,56,2,5,55,19,13,193,17,22,96,16,44,18,8,27,0,11,38,18,10,43,1,23,7,26,9,20,13,13,13,1,5,21,8,9,2,24,4,1,1,87,7,0,0,7,130,0,4,12,10,0,96,2,6,5,49,9,39,6,5,19,4,6,3,25,32,0,12,18,9,29,1,24,27,13,68,0,13,12,72,10,2,18,11,6,7,0,1,3,11,2,18,2,22,33,36,50,1,6,7,19,49,8,20,9,3,3,8,4,8,0,12,1,8,9,5,3,5
2017_09_30,30,24,6,16,20,62,3,6,53,17,14,183,14,24,87,22,31,18,8,34,0,19,33,10,7,45,1,12,5,23,13,21,7,12,8,0,9,11,4,7,9,27,3,3,1,108,9,0,1,8,115,0,1,13,10,2,66,0,8,4,37,8,56,1,6,12,6,6,3,15,33,1,18,16,10,20,0,27,19,16,74,2,10,14,86,10,1,23,5,8,11,7,0,7,14,2,15,2,26,41,18,37,0,7,7,20,41,13,17,7,4,4,7,2,6,1,10,0,7,10,6,1,5
2017_10_02,20,45,8,19,21,68,3,7,54,19,11,177,10,30,84,17,35,14,9,47,0,19,33,12,5,38,3,16,5,20,6,20,10,6,10,3,9,8,6,15,8,20,3,2,0,102,6,0,1,8,111,0,2,6,10,2,73,1,13,8,43,5,36,6,10,16,2,7,1,18,41,0,15,18,9,14,0,15,25,27,68,1,14,16,87,6,0,24,10,6,12,5,0,6,12,2,29,3,25,42,26,57,3,5,4,20,39,11,18,9,0,1,7,1,6,2,18,0,2,6,6,1,5
2017_10_06,33,32,10,7,11,50,2,10,54,23,6,175,20,31,100,15,35,20,9,48,0,18,33,16,9,39,3,24,12,19,5,20,12,8,7,0,5,6,6,17,8,33,1,4,1,76,9,0,0,8,109,2,3,11,8,4,83,0,9,8,55,4,53,1,6,13,5,9,3,9,45,0,13,23,8,27,0,23,29,25,74,2,20,10,90,6,2,24,18,7,5,7,0,4,14,1,27,0,34,37,33,48,2,8,4,17,45,8,26,12,1,2,10,1,7,1,11,0,5,6,8,1,5
2017_10_07,39,23,11,8,20,63,3,6,52,25,10,176,19,22,89,23,54,13,6,33,0,13,41,8,6,37,1,25,11,25,7,20,11,11,7,2,9,11,7,20,7,17,0,3,1,101,5,0,0,6,119,0,2,5,5,1,86,0,5,7,35,7,46,5,10,16,5,9,0,9,48,2,13,10,9,25,1,17,16,18,83,2,9,16,88,8,1,26,9,6,5,4,0,6,10,1,14,3,29,32,19,37,0,8,4,17,38,12,18,11,3,2,7,1,6,1,16,1,2,7,4,1,5
2017_10_21,45,39,5,11,7,55,3,9,52,23,8,177,5,22,83,21,57,18,5,49,1,16,33,11,8,41,3,11,5,17,9,19,15,12,9,1,6,9,7,16,3,30,3,4,1,73,7,1,1,8,141,2,0,6,7,1,89,1,5,5,40,8,40,3,8,19,2,9,3,10,41,1,9,26,9,25,2,26,24,19,71,2,16,15,79,9,1,27,16,8,12,6,1,5,15,1,32,1,18,31,19,54,6,6,5,19,39,8,24,10,4,3,11,4,7,3,10,0,3,11,7,3,5
2017_10_24,37,23,10,16,10,63,3,8,51,17,12,216,23,21,90,21,59,17,13,62,1,14,49,7,7,37,1,9,11,17,8,29,7,9,8,5,6,16,7,8,4,20,4,0,0,120,6,0,0,5,109,1,0,9,10,1,67,2,9,8,35,7,38,2,7,13,4,5,1,11,43,1,20,25,8,15,2,23,26,20,60,1,14,15,87,8,1,19,10,8,6,0,1,3,8,1,25,0,19,36,36,58,5,8,4,22,39,10,21,7,3,4,9,3,8,2,14,1,6,7,7,2,5
2017_10_26,20,28,5,13,19,55,3,8,54,23,10,196,17,20,95,25,51,6,15,28,1,20,46,12,8,37,2,15,5,15,16,19,5,5,14,3,6,6,9,16,5,30,3,5,1,101,7,0,0,7,99,0,2,13,6,0,85,2,7,5,51,4,56,6,8,14,5,5,1,18,36,1,11,15,7,17,2,23,13,16,74,0,16,17,83,7,2,14,19,7,7,5,1,7,19,0,27,3,26,35,24,49,6,10,4,20,47,7,18,11,1,2,8,4,6,1,13,0,3,9,6,0,5
2017_08_03,22,30,8,12,17,64,2,10,53,17,12,184,23,17,92,23,56,15,15,52,1,5,48,11,10,44,0,19,9,28,12,21,8,10,13,5,9,12,4,15,4,25,4,0,1,77,5,1,0,7,134,0,3,10,5,2,83,1,11,9,39,4,54,0,10,17,6,7,3,23,37,1,20,23,7,26,2,22,17,21,62,0,13,13,92,9,1,15,11,7,9,1,0,3,12,0,35,2,25,34,20,39,6,5,4,16,49,11,19,12,4,3,7,1,8,2,8,2,7,7,6,2,6
2017_08_06,41,30,20,5,18,67,2,10,55,20,11,215,8,31,76,11,50,12,5,39,0,5,48,11,9,36,0,19,9,15,12,25,10,12,18,3,7,21,5,12,5,21,2,5,1,119,6,1,0,7,83,0,1,13,5,3,77,1,14,7,50,8,46,6,8,15,5,9,1,23,39,0,14,10,10,26,2,23,18,24,75,2,18,16,77,9,2,26,18,8,8,2,0,3,10,0,25,1,21,41,21,60,6,5,7,20,41,11,20,10,1,4,9,3,8,1,11,0,3,8,9,3,6
2017_08_15,29,24,11,18,21,53,3,7,54,21,11,214,22,24,90,12,56,11,4,61,1,19,31,19,10,39,3,14,14,16,16,21,13,10,14,5,7,21,8,17,8,27,2,5,0,103,9,1,1,7,123,0,2,14,10,2,87,2,14,5,50,10,49,0,9,12,4,6,3,23,47,0,9,10,5,27,3,21,12,18,76,0,17,15,97,9,1,18,7,6,13,6,1,5,12,1,16,0,24,35,21,58,2,6,6,21,46,11,22,11,4,1,7,3,5,1,5,1,5,7,5,3,6
2017_08_24,45,45,17,11,7,56,2,7,53,17,10,187,21,31,77,24,32,16,4,60,0,12,39,15,6,45,0,27,14,22,11,21,14,9,20,4,6,18,3,13,9,17,4,5,0,112,10,1,0,6,103,2,4,12,5,1,81,1,11,9,39,7,50,3,9,15,2,9,0,10,38,1,17,34,7,30,1,27,11,13,72,2,18,9,72,9,0,16,5,5,11,3,1,5,11,0,17,2,36,39,30,40,1,6,4,17,44,7,27,12,1,3,7,4,8,1,11,0,5,9,9,2,6
2017_08_28,26,32,19,17,13,65,3,7,50,19,9,197,13,24,84,26,30,10,14,32,0,13,45,7,7,41,1,25,6,21,11,27,12,13,20,0,6,19,7,12,10,21,1,5,1,118,7,0,0,8,104,0,4,9,8,2,68,0,14,3,52,4,41,2,7,17,2,6,0,14,45,2,19,15,6,21,1,28,10,16,73,0,18,9,79,9,2,25,16,8,12,6,0,3,19,2,17,3,20,27,35,38,1,9,6,17,47,11,17,11,2,1,8,0,5,2,19,0,8,8,8,0,6
2017_09_05,34,35,8,6,17,55,2,10,54,23,9,171,20,20,91,13,34,13,14,53,1,19,45,19,9,44,3,12,11,17,5,23,11,12,17,5,9,13,8,16,2,28,4,1,1,72,7,1,0,7,92,1,0,12,9,1,87,1,14,3,47,8,39,6,9,9,5,7,2,25,38,2,15,27,6,14,0,21,26,14,82,2,14,15,93,9,2,18,7,7,11,1,1,7,19,0,22,0,30,29,20,55,3,10,4,21,40,8,26,9,4,2,11,3,8,0,10,0,2,6,6,0,6
2017_09_23,41,27,18,6,11,59,2,6,55,20,7,176,12,16,92,15,51,16,4,40,0,19,31,19,6,39,2,17,13,20,8,20,5,11,11,2,10,18,3,16,3,18,0,3,1,82,9,0,1,8,144,2,4,13,9,3,93,0,12,6,41,5,40,4,7,17,4,10,3,18,41,2,16,22,10,22,3,25,27,24,78,0,19,12,91,6,1,16,14,7,5,6,0,4,18,2,19,2,24,42,20,48,5,6,5,22,44,7,17,9,3,4,8,4,5,0,9,2,6,10,4,2,6
2017_09_25,36,45,11,10,18,51,3,9,54,22,7,194,9,17,99,14,51,16,15,45,0,5,35,11,7,39,1,20,10,17,14,20,13,11,7,2,7,22,3,11,8,25,0,5,1,99,10,0,0,8,107,1,0,8,5,3,76,1,11,9,48,7,48,3,6,16,5,6,0,19,41,1,13,33,8,17,1,15,10,13,75,0,17,12,75,8,0,25,6,5,11,4,1,6,12,1,33,3,19,29,36,60,5,5,6,19,41,7,20,9,2,1,6,1,5,3,16,0,4,10,5,3,6
2017_10_17,30,47,6,18,19,55,2,7,51,20,10,182,6,23,99,19,41,10,8,26,1,19,47,8,5,42,2,12,5,21,7,28,5,6,11,5,6,8,5,17,2,22,0,1,1,95,8,1,0,5,132,1,3,9,6,3,68,1,14,3,39,5,45,4,9,20,2,5,1,13,35,0,10,14,10,23,0,24,25,27,76,1,10,11,83,7,2,16,17,6,11,0,1,3,16,0,29,3,35,30,22,37,2,10,4,16,49,13,25,7,3,1,9,0,6,2,11,0,8,11,8,3,6
2017_10_29,41,41,12,12,20,59,2,10,50,25,12,210,15,16,87,13,52,12,7,47,1,16,34,7,5,40,2,20,7,18,9,23,5,12,19,0,10,5,4,18,4,24,3,1,0,117,8,0,0,6,146,1,2,5,10,0,78,0,5,6,48,7,49,6,8,16,5,6,2,20,37,1,16,31,9,16,2,25,29,14,83,0,12,14,96,7,1,14,15,7,9,1,1,4,11,0,16,2,36,35,34,38,4,9,6,20,41,11,23,10,2,3,9,4,5,2,13,1,6,6,8,0,6
